year,civil servant,craftsman,farmer,fisher,homemaker,retired,service provider,unemployed
0,5357.960465116279,4212.3914583333335,2182.726575342466,2232.419245283019,202.78,0.0,5215.757804878049,193.5193181818182
1,5237.495853658536,4173.849166666667,2193.2776,2152.949230769231,205.4012,297.7677777777778,5197.599512195122,197.9568181818182
2,5291.490238095238,4110.991020408163,1448.0898648648647,2181.2401999999997,195.25013513513514,318.3857894736842,5224.592307692308,189.90866666666665
3,4925.54487804878,3735.0098,2051.9594594594596,2437.2254166666667,168.96302631578948,316.4618518518518,4847.778461538461,165.96522727272728
4,5060.72512195122,3766.253541666667,2011.6910958904111,1966.165652173913,160.83626666666666,322.4518918918919,4921.847250000001,161.336511627907
5,5311.467317073171,3914.0460416666665,2043.4435135135136,2118.274347826087,161.18813333333335,356.1039473684211,5364.999,167.06
6,5014.709545454545,2029.7438297872343,1638.630684931507,2596.155111111111,145.68712328767123,359.2245454545455,5056.196341463415,155.28571428571428
7,5173.932093023255,3846.684255319149,1664.2786301369863,2007.533777777778,141.47363636363636,391.966976744186,5231.094634146341,152.5040476190476
8,5738.6052272727275,4381.68375,2281.3968055555556,2280.6010869565216,150.37038961038962,450.3262222222222,5707.13275,161.99697674418604
9,5862.187674418605,4426.074375,1557.1582857142857,2881.901956521739,142.6160759493671,506.73869565217393,5731.668,156.35883720930232
10,5891.957619047619,4398.081489361702,2401.629852941176,2346.2963829787236,136.94282051282053,594.3130769230769,5534.206749999999,146.94809523809522
11,5895.17511627907,4376.875,2348.2375362318844,2290.9733333333334,126.00414634146341,632.0032075471697,5314.534473684211,131.189
12,5965.992093023256,4473.0552,2315.725352112676,2891.8565999999996,115.742375,632.8694642857143,5280.428421052631,126.594375
13,6000.820000000001,4463.120961538461,2353.9556944444444,2418.919230769231,108.05025316455695,640.9580357142858,5320.048205128205,114.31555555555555
14,6029.050444444445,4477.133653846154,2143.6746575342468,2398.7567307692307,96.68053333333333,637.0964150943396,5387.284146341463,107.6952
15,6034.717333333334,4527.906296296296,2197.578493150685,3038.913846153846,87.72616438356165,699.4494,5506.6507317073165,99.0528
16,6186.04,4694.847407407407,1654.121111111111,2528.7846296296298,78.92352112676056,771.3148076923078,5476.309487179487,90.5996
17,6051.56,4568.601320754717,2269.0014084507043,2277.287272727273,65.91085714285714,759.5222033898305,5408.545128205128,73.22347826086957
18,6128.302222222222,4617.869629629629,2355.3773239436623,2880.8332727272723,57.155915492957746,824.5596363636363,5342.364324324325,61.24909090909091
19,6153.181666666666,4728.378867924529,2389.4125000000004,2297.4012727272725,47.610704225352116,876.274705882353,5293.209,50.03181818181818
20,6125.34487804878,4836.8324999999995,2278.545,2337.1848148148147,35.71453125,959.4220370370371,5344.703333333333,40.77130434782609
21,6072.4015,4843.584814814814,2287.533142857143,2869.366111111111,25.386610169491526,1094.8635593220338,5550.335641025641,28.823478260869567
22,6336.34282051282,5179.626727272726,2507.314084507042,2515.3410909090912,16.482407407407408,1226.5785185185186,5732.61725,16.256190476190476
23,6259.300512820513,5217.0330188679245,1688.5248484848485,2525.435636363636,5.2700000000000005,1285.6638333333333,5865.418974358974,1.8500000000000003
24,6243.2256410256405,5067.358,2253.7926984126984,3205.154909090909,-5.9158928571428575,1413.031525423729,5990.661538461538,-13.111052631578948
25,6458.101025641025,5176.65568627451,2338.425238095238,2651.328392857143,-17.435087719298245,1355.3646296296297,6181.847692307692,-22.9685
26,6671.046923076923,5307.735961538462,2386.629841269841,2741.137142857143,-27.54949152542373,1449.1307142857142,6395.369230769231,-37.7915
27,6911.827435897437,5435.9375,2458.2015625,3421.571052631579,-41.45116666666667,1522.1491891891892,6650.245897435897,-42.315909090909095
28,6920.8651351351355,5464.667777777778,2472.237727272727,2803.266206896552,-58.51083333333334,1529.3083870967741,6754.92358974359,-57.744285714285716
29,6983.025789473683,5491.067037037037,2795.0011940298505,2846.6858620689654,-75.35333333333332,1587.1154166666665,7043.57641025641,-67.15363636363637
30,7012.843076923077,5552.861730769231,1928.1811940298508,3493.6022807017544,-89.44457627118643,1413.1207692307692,6963.940256410256,-73.66363636363637
31,6847.836923076923,5462.793076923077,2731.9025373134327,2791.806842105263,-103.75228070175439,1416.9744444444443,6655.482380952381,-85.52333333333334
32,6835.887435897435,5396.869803921569,2816.809411764706,2846.7326785714286,-113.14116666666668,1715.7761538461539,6922.805714285715,-87.08608695652174
33,6823.461081081081,5324.275576923077,2898.717462686567,3578.9178947368423,-124.57903225806452,1638.7170833333332,6658.300888888888,-80.79
