year,sex,profession,income,age
0,F,civil servant,5131.08,40
0,M,child,0.00,1
0,M,unemployed,124.10,25
0,M,farmer,1868.39,36
0,F,child,0.00,1
0,F,civil servant,5045.29,41
0,F,child,0.00,8
0,M,homemaker,149.64,30
0,M,child,0.00,3
0,M,fisher,1381.20,24
0,M,child,0.00,13
0,F,fisher,1289.44,21
0,M,homemaker,236.64,49
0,M,farmer,1354.75,24
0,F,craftsman,4597.94,48
0,F,service provider,6856.92,54
0,M,child,0.00,16
0,F,child,0.00,5
0,F,child,0.00,1
0,M,civil servant,4389.01,35
0,F,civil servant,7777.50,64
0,F,unemployed,113.73,22
0,M,craftsman,4089.14,42
0,M,homemaker,227.98,50
0,F,service provider,5385.51,42
0,M,service provider,6093.55,49
0,M,farmer,3086.57,61
0,M,child,0.00,12
0,F,child,0.00,1
0,F,child,0.00,9
0,F,child,0.00,8
0,F,civil servant,5392.38,43
0,F,farmer,1936.89,36
0,X,child,0.00,14
0,M,fisher,2372.70,45
0,F,homemaker,235.72,49
0,F,child,0.00,10
0,F,craftsman,3864.62,39
0,F,farmer,2441.01,48
0,F,child,0.00,7
0,F,service provider,6637.22,53
0,M,farmer,3277.47,62
0,M,child,0.00,7
0,M,child,0.00,1
0,M,craftsman,2183.44,20
0,M,craftsman,4399.85,44
0,M,unemployed,293.09,62
0,M,farmer,1367.43,25
0,F,unemployed,220.56,46
0,M,child,0.00,4
0,M,craftsman,4229.55,44
0,M,farmer,2139.94,40
0,M,child,0.00,6
0,F,homemaker,236.30,50
0,F,craftsman,5445.69,55
0,F,homemaker,182.73,39
0,M,child,0.00,7
0,F,craftsman,6016.06,63
0,M,fisher,2603.16,50
0,M,civil servant,2925.79,22
0,X,homemaker,134.22,27
0,F,farmer,1392.33,24
0,F,farmer,1683.52,32
0,F,fisher,1288.57,22
0,F,service provider,6900.24,55
0,F,homemaker,247.78,53
0,M,child,0.00,6
0,M,homemaker,287.61,62
0,M,homemaker,197.02,41
0,M,unemployed,237.93,53
0,M,civil servant,5566.21,45
0,F,homemaker,146.93,28
0,F,service provider,5938.20,47
0,M,fisher,3126.70,62
0,F,child,0.00,17
0,M,craftsman,5300.90,52
0,F,farmer,1894.38,34
0,M,homemaker,156.54,31
0,M,fisher,1496.78,28
0,M,service provider,5718.21,47
0,F,child,0.00,17
0,M,farmer,2708.38,55
0,F,homemaker,261.24,53
0,F,child,0.00,5
0,M,service provider,7215.40,57
0,M,child,0.00,15
0,X,civil servant,3758.38,30
0,F,fisher,2173.33,39
0,M,farmer,1316.19,24
0,M,child,0.00,1
0,M,unemployed,255.10,55
0,F,child,0.00,11
0,F,child,0.00,13
0,M,homemaker,246.89,51
0,M,service provider,3123.43,22
0,M,homemaker,278.68,57
0,X,homemaker,218.03,45
0,F,child,0.00,17
0,X,child,0.00,0
0,F,fisher,3087.98,61
0,M,child,0.00,5
0,F,unemployed,229.95,46
0,F,civil servant,3990.84,31
0,F,craftsman,5050.23,49
0,M,civil servant,5699.37,44
0,F,craftsman,4103.65,41
0,M,homemaker,158.16,31
0,M,homemaker,244.32,51
0,M,child,0.00,6
0,F,child,0.00,14
0,F,civil servant,5498.12,44
0,M,fisher,1164.42,19
0,F,unemployed,178.10,37
0,M,craftsman,3070.34,30
0,F,unemployed,168.71,34
0,F,fisher,1525.66,27
0,M,farmer,2561.32,48
0,F,farmer,1206.03,21
0,F,farmer,2246.46,45
0,M,child,0.00,17
0,F,child,0.00,16
0,F,child,0.00,7
0,F,child,0.00,12
0,F,child,0.00,7
0,M,farmer,1760.69,34
0,M,homemaker,227.24,49
0,M,child,0.00,12
0,F,child,0.00,14
0,F,farmer,1738.15,31
0,F,unemployed,224.40,47
0,M,homemaker,292.42,63
0,M,homemaker,173.52,34
0,F,fisher,1072.23,18
0,F,child,0.00,6
0,M,child,0.00,12
0,F,child,0.00,14
0,M,child,0.00,11
0,F,child,0.00,0
0,F,civil servant,4302.98,34
0,M,child,0.00,17
0,M,service provider,7408.69,63
0,F,fisher,1978.67,35
0,M,farmer,2417.02,45
0,F,child,0.00,8
0,M,service provider,6540.82,56
0,M,service provider,4163.27,31
0,F,farmer,2855.48,56
0,F,unemployed,185.66,37
0,M,fisher,1725.47,30
0,M,civil servant,3526.86,28
0,X,child,0.00,11
0,F,child,0.00,3
0,M,homemaker,274.66,61
0,F,civil servant,3877.13,31
0,M,homemaker,237.33,53
0,M,service provider,3519.19,26
0,M,child,0.00,4
0,F,homemaker,197.55,40
0,M,child,0.00,3
0,M,child,0.00,9
0,M,fisher,1854.88,36
0,F,fisher,1174.39,19
0,M,civil servant,7614.21,64
0,F,child,0.00,7
0,F,service provider,5869.60,49
0,M,civil servant,4784.20,39
0,M,homemaker,249.17,51
0,F,child,0.00,14
0,M,craftsman,3287.82,33
0,M,civil servant,3818.51,29
0,F,craftsman,2930.53,28
0,F,civil servant,6904.99,55
0,M,fisher,3328.51,64
0,F,unemployed,102.37,19
0,F,craftsman,4105.77,40
0,M,homemaker,192.63,39
0,M,civil servant,5813.00,48
0,M,farmer,3051.06,61
0,M,child,0.00,13
0,M,child,0.00,13
0,F,fisher,2144.09,42
0,F,child,0.00,10
0,X,child,0.00,11
0,M,child,0.00,4
0,M,child,0.00,0
0,M,fisher,1640.77,29
0,F,craftsman,3778.80,38
0,M,craftsman,2058.11,18
0,M,child,0.00,15
0,M,farmer,2260.05,45
0,M,civil servant,5837.83,45
0,M,farmer,1676.21,29
0,M,homemaker,219.31,44
0,F,homemaker,282.24,60
0,M,homemaker,238.68,51
0,F,unemployed,193.53,40
0,F,farmer,2328.41,42
0,M,craftsman,6111.66,60
0,X,service provider,3657.36,27
0,F,farmer,1949.93,35
0,X,craftsman,4167.74,42
0,F,fisher,2993.89,59
0,F,farmer,2642.24,53
0,M,child,0.00,4
0,F,child,0.00,10
0,M,fisher,1132.64,19
0,M,fisher,2567.97,48
0,M,farmer,1937.41,36
0,M,civil servant,2690.83,18
0,X,child,0.00,8
0,M,fisher,2270.85,44
0,F,homemaker,219.35,45
0,M,farmer,3207.95,61
0,M,farmer,1828.12,32
0,F,service provider,4174.82,32
0,X,child,0.00,5
0,F,child,0.00,2
0,F,farmer,1641.44,28
0,M,homemaker,109.13,20
0,M,child,0.00,16
0,X,child,0.00,5
0,F,craftsman,5811.20,62
0,F,service provider,6413.70,54
0,F,craftsman,3685.20,37
0,M,craftsman,6029.73,61
0,F,fisher,3390.55,64
0,F,unemployed,213.55,43
0,F,child,0.00,17
0,M,child,0.00,2
0,X,service provider,5784.05,49
0,M,unemployed,154.46,30
0,M,farmer,2154.59,42
0,F,farmer,2949.24,59
0,F,child,0.00,11
0,M,fisher,2071.53,38
0,M,craftsman,4198.09,41
0,F,homemaker,161.12,31
0,M,child,0.00,5
0,F,civil servant,2947.68,22
0,F,craftsman,2430.06,21
0,M,service provider,5486.32,43
0,F,homemaker,258.96,55
0,F,craftsman,2363.21,21
0,F,homemaker,222.83,45
0,M,homemaker,98.33,18
0,F,homemaker,295.91,61
0,M,farmer,2561.04,52
0,M,craftsman,3777.36,35
0,F,service provider,3993.40,29
0,M,farmer,1147.94,20
0,M,service provider,3078.39,21
0,F,fisher,3199.62,63
0,M,service provider,3395.40,26
0,M,homemaker,165.54,33
0,X,craftsman,6027.12,64
0,X,unemployed,210.52,42
0,M,civil servant,4504.19,35
0,M,farmer,1515.09,26
0,M,child,0.00,12
0,F,unemployed,119.83,23
0,F,farmer,2559.65,49
0,F,homemaker,190.89,40
0,M,farmer,2490.24,49
0,M,child,0.00,13
0,F,unemployed,172.56,35
0,F,homemaker,278.65,60
0,F,farmer,1505.14,28
0,X,service provider,5856.16,45
0,F,child,0.00,7
0,M,service provider,7555.60,63
0,F,fisher,2153.74,39
0,M,child,0.00,15
0,F,child,0.00,10
0,F,farmer,1974.29,35
0,M,farmer,1871.23,35
0,M,child,0.00,6
0,M,craftsman,6157.18,64
0,F,craftsman,5799.87,59
0,M,civil servant,3710.63,29
0,F,child,0.00,7
0,F,service provider,6349.89,54
0,M,farmer,1713.33,32
0,F,civil servant,5945.59,46
0,M,fisher,1816.39,33
0,F,child,0.00,17
0,F,unemployed,251.10,54
0,F,homemaker,281.36,63
0,M,child,0.00,15
0,M,fisher,1863.49,35
0,M,farmer,1364.26,24
0,M,homemaker,283.62,59
0,F,service provider,4259.28,33
0,F,homemaker,270.07,57
0,M,farmer,2931.94,56
0,F,child,0.00,17
0,F,homemaker,234.59,51
0,M,craftsman,2905.42,26
0,M,civil servant,7584.88,60
0,M,unemployed,166.15,33
0,F,service provider,6466.25,53
0,F,homemaker,96.68,18
0,F,homemaker,107.33,19
0,F,civil servant,4653.59,38
0,F,fisher,3324.86,64
0,M,craftsman,3257.89,31
0,M,child,0.00,9
0,M,unemployed,179.53,35
0,F,homemaker,117.51,22
0,F,homemaker,174.78,35
0,F,service provider,4283.13,35
0,F,homemaker,139.96,29
