year,sex,profession,income,age,happiness
0,F,civil servant,5131.08,40,100.00
0,M,child,0.00,1,100.00
0,M,unemployed,124.10,25,100.00
0,M,farmer,1868.39,36,100.00
0,F,child,0.00,1,100.00
0,F,civil servant,5045.29,41,100.00
0,F,child,0.00,8,100.00
0,M,homemaker,149.64,30,100.00
0,M,child,0.00,3,100.00
0,M,fisher,1381.20,24,100.00
0,M,child,0.00,13,100.00
0,F,fisher,1289.44,21,100.00
0,M,homemaker,236.64,49,100.00
0,M,farmer,1354.75,24,100.00
0,F,craftsman,4597.94,48,100.00
0,F,service provider,6856.92,54,100.00
0,M,child,0.00,16,100.00
0,F,child,0.00,5,100.00
0,F,child,0.00,1,100.00
0,M,civil servant,4389.01,35,100.00
0,F,civil servant,7777.50,64,100.00
0,F,unemployed,113.73,22,100.00
0,M,craftsman,4089.14,42,100.00
0,M,homemaker,227.98,50,100.00
0,F,service provider,5385.51,42,100.00
0,M,service provider,6093.55,49,100.00
0,M,farmer,3086.57,61,100.00
0,M,child,0.00,12,100.00
0,F,child,0.00,1,100.00
0,F,child,0.00,9,100.00
0,F,child,0.00,8,100.00
0,F,civil servant,5392.38,43,100.00
0,F,farmer,1936.89,36,100.00
0,X,child,0.00,14,100.00
0,M,fisher,2372.70,45,100.00
0,F,homemaker,235.72,49,100.00
0,F,child,0.00,10,100.00
0,F,craftsman,3864.62,39,100.00
0,F,farmer,2441.01,48,100.00
0,F,child,0.00,7,100.00
0,F,service provider,6637.22,53,100.00
0,M,farmer,3277.47,62,100.00
0,M,child,0.00,7,100.00
0,M,child,0.00,1,100.00
0,M,craftsman,2183.44,20,100.00
0,M,craftsman,4399.85,44,100.00
0,M,unemployed,293.09,62,100.00
0,M,farmer,1367.43,25,100.00
0,F,unemployed,220.56,46,100.00
0,M,child,0.00,4,100.00
0,M,craftsman,4229.55,44,100.00
0,M,farmer,2139.94,40,100.00
0,M,child,0.00,6,100.00
0,F,homemaker,236.30,50,100.00
0,F,craftsman,5445.69,55,100.00
0,F,homemaker,182.73,39,100.00
0,M,child,0.00,7,100.00
0,F,craftsman,6016.06,63,100.00
0,M,fisher,2603.16,50,100.00
0,M,civil servant,2925.79,22,100.00
0,X,homemaker,134.22,27,100.00
0,F,farmer,1392.33,24,100.00
0,F,farmer,1683.52,32,100.00
0,F,fisher,1288.57,22,100.00
0,F,service provider,6900.24,55,100.00
0,F,homemaker,247.78,53,100.00
0,M,child,0.00,6,100.00
0,M,homemaker,287.61,62,100.00
0,M,homemaker,197.02,41,100.00
0,M,unemployed,237.93,53,100.00
0,M,civil servant,5566.21,45,100.00
0,F,homemaker,146.93,28,100.00
0,F,service provider,5938.20,47,100.00
0,M,fisher,3126.70,62,100.00
0,F,child,0.00,17,100.00
0,M,craftsman,5300.90,52,100.00
0,F,farmer,1894.38,34,100.00
0,M,homemaker,156.54,31,100.00
0,M,fisher,1496.78,28,100.00
0,M,service provider,5718.21,47,100.00
0,F,child,0.00,17,100.00
0,M,farmer,2708.38,55,100.00
0,F,homemaker,261.24,53,100.00
0,F,child,0.00,5,100.00
0,M,service provider,7215.40,57,100.00
0,M,child,0.00,15,100.00
0,X,civil servant,3758.38,30,100.00
0,F,fisher,2173.33,39,100.00
0,M,farmer,1316.19,24,100.00
0,M,child,0.00,1,100.00
0,M,unemployed,255.10,55,100.00
0,F,child,0.00,11,100.00
0,F,child,0.00,13,100.00
0,M,homemaker,246.89,51,100.00
0,M,service provider,3123.43,22,100.00
0,M,homemaker,278.68,57,100.00
0,X,homemaker,218.03,45,100.00
0,F,child,0.00,17,100.00
0,X,child,0.00,0,100.00
0,F,fisher,3087.98,61,100.00
0,M,child,0.00,5,100.00
0,F,unemployed,229.95,46,100.00
0,F,civil servant,3990.84,31,100.00
0,F,craftsman,5050.23,49,100.00
0,M,civil servant,5699.37,44,100.00
0,F,craftsman,4103.65,41,100.00
0,M,homemaker,158.16,31,100.00
0,M,homemaker,244.32,51,100.00
0,M,child,0.00,6,100.00
0,F,child,0.00,14,100.00
0,F,civil servant,5498.12,44,100.00
0,M,fisher,1164.42,19,100.00
0,F,unemployed,178.10,37,100.00
0,M,craftsman,3070.34,30,100.00
0,F,unemployed,168.71,34,100.00
0,F,fisher,1525.66,27,100.00
0,M,farmer,2561.32,48,100.00
0,F,farmer,1206.03,21,100.00
0,F,farmer,2246.46,45,100.00
0,M,child,0.00,17,100.00
0,F,child,0.00,16,100.00
0,F,child,0.00,7,100.00
0,F,child,0.00,12,100.00
0,F,child,0.00,7,100.00
0,M,farmer,1760.69,34,100.00
0,M,homemaker,227.24,49,100.00
0,M,child,0.00,12,100.00
0,F,child,0.00,14,100.00
0,F,farmer,1738.15,31,100.00
0,F,unemployed,224.40,47,100.00
0,M,homemaker,292.42,63,100.00
0,M,homemaker,173.52,34,100.00
0,F,fisher,1072.23,18,100.00
0,F,child,0.00,6,100.00
0,M,child,0.00,12,100.00
0,F,child,0.00,14,100.00
0,M,child,0.00,11,100.00
0,F,child,0.00,0,100.00
0,F,civil servant,4302.98,34,100.00
0,M,child,0.00,17,100.00
0,M,service provider,7408.69,63,100.00
0,F,fisher,1978.67,35,100.00
0,M,farmer,2417.02,45,100.00
0,F,child,0.00,8,100.00
0,M,service provider,6540.82,56,100.00
0,M,service provider,4163.27,31,100.00
0,F,farmer,2855.48,56,100.00
0,F,unemployed,185.66,37,100.00
0,M,fisher,1725.47,30,100.00
0,M,civil servant,3526.86,28,100.00
0,X,child,0.00,11,100.00
0,F,child,0.00,3,100.00
0,M,homemaker,274.66,61,100.00
0,F,civil servant,3877.13,31,100.00
0,M,homemaker,237.33,53,100.00
0,M,service provider,3519.19,26,100.00
0,M,child,0.00,4,100.00
0,F,homemaker,197.55,40,100.00
0,M,child,0.00,3,100.00
0,M,child,0.00,9,100.00
0,M,fisher,1854.88,36,100.00
0,F,fisher,1174.39,19,100.00
0,M,civil servant,7614.21,64,100.00
0,F,child,0.00,7,100.00
0,F,service provider,5869.60,49,100.00
0,M,civil servant,4784.20,39,100.00
0,M,homemaker,249.17,51,100.00
0,F,child,0.00,14,100.00
0,M,craftsman,3287.82,33,100.00
0,M,civil servant,3818.51,29,100.00
0,F,craftsman,2930.53,28,100.00
0,F,civil servant,6904.99,55,100.00
0,M,fisher,3328.51,64,100.00
0,F,unemployed,102.37,19,100.00
0,F,craftsman,4105.77,40,100.00
0,M,homemaker,192.63,39,100.00
0,M,civil servant,5813.00,48,100.00
0,M,farmer,3051.06,61,100.00
0,M,child,0.00,13,100.00
0,M,child,0.00,13,100.00
0,F,fisher,2144.09,42,100.00
0,F,child,0.00,10,100.00
0,X,child,0.00,11,100.00
0,M,child,0.00,4,100.00
0,M,child,0.00,0,100.00
0,M,fisher,1640.77,29,100.00
0,F,craftsman,3778.80,38,100.00
0,M,craftsman,2058.11,18,100.00
0,M,child,0.00,15,100.00
0,M,farmer,2260.05,45,100.00
0,M,civil servant,5837.83,45,100.00
0,M,farmer,1676.21,29,100.00
0,M,homemaker,219.31,44,100.00
0,F,homemaker,282.24,60,100.00
0,M,homemaker,238.68,51,100.00
0,F,unemployed,193.53,40,100.00
0,F,farmer,2328.41,42,100.00
0,M,craftsman,6111.66,60,100.00
0,X,service provider,3657.36,27,100.00
0,F,farmer,1949.93,35,100.00
0,X,craftsman,4167.74,42,100.00
0,F,fisher,2993.89,59,100.00
0,F,farmer,2642.24,53,100.00
0,M,child,0.00,4,100.00
0,F,child,0.00,10,100.00
0,M,fisher,1132.64,19,100.00
0,M,fisher,2567.97,48,100.00
0,M,farmer,1937.41,36,100.00
0,M,civil servant,2690.83,18,100.00
0,X,child,0.00,8,100.00
0,M,fisher,2270.85,44,100.00
0,F,homemaker,219.35,45,100.00
0,M,farmer,3207.95,61,100.00
0,M,farmer,1828.12,32,100.00
0,F,service provider,4174.82,32,100.00
0,X,child,0.00,5,100.00
0,F,child,0.00,2,100.00
0,F,farmer,1641.44,28,100.00
0,M,homemaker,109.13,20,100.00
0,M,child,0.00,16,100.00
0,X,child,0.00,5,100.00
0,F,craftsman,5811.20,62,100.00
0,F,service provider,6413.70,54,100.00
0,F,craftsman,3685.20,37,100.00
0,M,craftsman,6029.73,61,100.00
0,F,fisher,3390.55,64,100.00
0,F,unemployed,213.55,43,100.00
0,F,child,0.00,17,100.00
0,M,child,0.00,2,100.00
0,X,service provider,5784.05,49,100.00
0,M,unemployed,154.46,30,100.00
0,M,farmer,2154.59,42,100.00
0,F,farmer,2949.24,59,100.00
