year,gdp,gini
0,947610.99,0.47
1,931427.95,0.48
2,872704.64,0.52
3,875281.14,0.50
4,853371.77,0.52
5,901704.41,0.53
6,792759.29,0.54
7,863732.70,0.55
8,999082.05,0.53
9,976661.01,0.55
10,996884.72,0.53
11,986606.02,0.53
12,1038607.13,0.52
13,1052385.82,0.52
14,1049930.00,0.52
15,1104141.45,0.50
16,1049097.65,0.53
17,1056797.38,0.52
18,1099239.99,0.50
19,1068331.91,0.51
20,1066626.49,0.51
21,1102743.52,0.49
22,1145131.26,0.48
23,1077173.24,0.50
24,1131550.42,0.47
25,1124499.14,0.49
26,1147936.10,0.49
27,1216845.56,0.48
28,1183048.50,0.49
29,1221037.13,0.49
30,1192010.14,0.51
31,1203380.04,0.49
32,1219376.61,0.50
33,1257236.62,0.48
34,1230768.59,0.49
35,1228089.75,0.50
36,1229863.05,0.49
37,1134255.87,0.53
38,1027942.01,0.51
39,1043221.21,0.50
40,1013746.27,0.52
41,1010233.50,0.54
42,1077274.16,0.52
43,1057866.53,0.50
44,1013728.00,0.53
45,1035005.55,0.50
46,1006679.85,0.51
47,992254.52,0.52
48,1004823.42,0.52
49,984301.72,0.52
50,1033714.82,0.53
51,1015367.74,0.54
52,1032999.84,0.53
53,997318.28,0.52
54,1045883.46,0.51
55,1022836.48,0.52
56,885089.33,0.50
57,925796.11,0.47
58,894681.77,0.51
59,818388.51,0.50
60,935668.67,0.47
61,834237.10,0.53
62,913029.92,0.49
63,964613.36,0.48
64,933817.78,0.48
65,918435.25,0.51
66,1013444.19,0.46
67,989269.85,0.48
68,995052.59,0.48
69,1057954.89,0.47
70,1037624.25,0.49
71,1042448.88,0.49
72,1076519.96,0.50
73,1115169.67,0.49
74,1172014.01,0.48
75,1234446.68,0.47
76,1223160.11,0.49
77,1112898.09,0.50
78,1150662.22,0.48
79,1065315.14,0.53
80,1101798.96,0.50
81,1039319.48,0.49
82,1224192.99,0.51
83,1194271.94,0.50
84,1264543.59,0.48
85,1236541.83,0.49
86,1196919.98,0.52
87,1288740.67,0.48
88,1236289.56,0.49
89,1224722.72,0.50
90,1279907.96,0.49
91,1213475.54,0.51
92,1224741.62,0.50
93,1224499.30,0.51
94,1211637.33,0.50
95,1190045.24,0.52
96,1226092.63,0.50
97,1202731.04,0.52
98,1196294.53,0.51
99,1216246.99,0.50
100,1123997.05,0.54
101,1126056.84,0.52
102,1127379.15,0.50
103,1125546.61,0.51
104,1138870.39,0.50
105,1164987.99,0.47
106,1166087.28,0.46
107,1124034.57,0.46
108,1125968.26,0.46
109,1164602.65,0.46
110,1183632.27,0.46
111,1239356.08,0.45
112,1159191.96,0.47
113,1130535.53,0.48
114,1076391.64,0.49
115,1108062.68,0.46
