year,sex,profession,income,ethnicity
0,F,civil servant,5131.08,atlantean
0,M,child,0.00,arcadian
0,M,unemployed,124.10,arcadian
0,M,farmer,1868.39,hyperborean
0,F,child,0.00,arcadian
0,F,civil servant,5045.29,arcadian
0,F,child,0.00,atlantean
0,M,homemaker,149.64,atlantean
0,M,child,0.00,hyperborean
0,M,fisher,1381.20,arcadian
0,M,child,0.00,arcadian
0,F,fisher,1289.44,arcadian
0,M,homemaker,236.64,arcadian
0,M,farmer,1354.75,atlantean
0,F,craftsman,4597.94,hyperborean
0,F,service provider,6856.92,atlantean
0,M,child,0.00,atlantean
0,F,child,0.00,arcadian
0,F,child,0.00,atlantean
0,M,civil servant,4389.01,hyperborean
0,F,civil servant,7777.50,atlantean
0,F,unemployed,113.73,atlantean
0,M,craftsman,4089.14,hyperborean
0,M,homemaker,227.98,atlantean
0,F,service provider,5385.51,atlantean
0,M,service provider,6093.55,hyperborean
0,M,farmer,3086.57,atlantean
0,M,child,0.00,hyperborean
0,F,child,0.00,atlantean
0,F,child,0.00,atlantean
0,F,child,0.00,atlantean
0,F,civil servant,5392.38,atlantean
0,F,farmer,1936.89,arcadian
0,X,child,0.00,atlantean
0,M,fisher,2372.70,atlantean
0,F,homemaker,235.72,hyperborean
0,F,child,0.00,atlantean
0,F,craftsman,3864.62,atlantean
0,F,farmer,2441.01,atlantean
0,F,child,0.00,atlantean
0,F,service provider,6637.22,arcadian
0,M,farmer,3277.47,arcadian
0,M,child,0.00,arcadian
0,M,child,0.00,arcadian
0,M,craftsman,2183.44,hyperborean
0,M,craftsman,4399.85,arcadian
0,M,unemployed,293.09,atlantean
0,M,farmer,1367.43,arcadian
0,F,unemployed,220.56,hyperborean
0,M,child,0.00,atlantean
0,M,craftsman,4229.55,hyperborean
0,M,farmer,2139.94,hyperborean
0,M,child,0.00,arcadian
0,F,homemaker,236.30,arcadian
0,F,craftsman,5445.69,hyperborean
0,F,homemaker,182.73,atlantean
0,M,child,0.00,arcadian
0,F,craftsman,6016.06,arcadian
0,M,fisher,2603.16,arcadian
0,M,civil servant,2925.79,arcadian
0,X,homemaker,134.22,hyperborean
0,F,farmer,1392.33,atlantean
0,F,farmer,1683.52,atlantean
0,F,fisher,1288.57,arcadian
0,F,service provider,6900.24,atlantean
0,F,homemaker,247.78,atlantean
0,M,child,0.00,arcadian
0,M,homemaker,287.61,arcadian
0,M,homemaker,197.02,atlantean
0,M,unemployed,237.93,hyperborean
0,M,civil servant,5566.21,arcadian
0,F,homemaker,146.93,arcadian
0,F,service provider,5938.20,arcadian
0,M,fisher,3126.70,atlantean
0,F,child,0.00,arcadian
0,M,craftsman,5300.90,hyperborean
0,F,farmer,1894.38,arcadian
0,M,homemaker,156.54,hyperborean
0,M,fisher,1496.78,arcadian
0,M,service provider,5718.21,atlantean
0,F,child,0.00,arcadian
0,M,farmer,2708.38,atlantean
0,F,homemaker,261.24,atlantean
0,F,child,0.00,arcadian
0,M,service provider,7215.40,arcadian
0,M,child,0.00,atlantean
0,X,civil servant,3758.38,arcadian
0,F,fisher,2173.33,arcadian
0,M,farmer,1316.19,arcadian
0,M,child,0.00,atlantean
0,M,unemployed,255.10,hyperborean
0,F,child,0.00,atlantean
0,F,child,0.00,hyperborean
0,M,homemaker,246.89,atlantean
0,M,service provider,3123.43,atlantean
0,M,homemaker,278.68,arcadian
0,X,homemaker,218.03,hyperborean
0,F,child,0.00,arcadian
0,X,child,0.00,arcadian
0,F,fisher,3087.98,arcadian
0,M,child,0.00,atlantean
0,F,unemployed,229.95,atlantean
0,F,civil servant,3990.84,arcadian
0,F,craftsman,5050.23,arcadian
0,M,civil servant,5699.37,hyperborean
0,F,craftsman,4103.65,hyperborean
0,M,homemaker,158.16,arcadian
0,M,homemaker,244.32,hyperborean
0,M,child,0.00,arcadian
0,F,child,0.00,arcadian
0,F,civil servant,5498.12,arcadian
0,M,fisher,1164.42,atlantean
0,F,unemployed,178.10,arcadian
0,M,craftsman,3070.34,atlantean
0,F,unemployed,168.71,atlantean
0,F,fisher,1525.66,hyperborean
0,M,farmer,2561.32,arcadian
0,F,farmer,1206.03,hyperborean
0,F,farmer,2246.46,arcadian
0,M,child,0.00,hyperborean
0,F,child,0.00,hyperborean
0,F,child,0.00,hyperborean
0,F,child,0.00,hyperborean
0,F,child,0.00,arcadian
0,M,farmer,1760.69,arcadian
0,M,homemaker,227.24,atlantean
0,M,child,0.00,hyperborean
0,F,child,0.00,hyperborean
0,F,farmer,1738.15,atlantean
0,F,unemployed,224.40,atlantean
0,M,homemaker,292.42,arcadian
0,M,homemaker,173.52,atlantean
0,F,fisher,1072.23,atlantean
0,F,child,0.00,atlantean
0,M,child,0.00,hyperborean
0,F,child,0.00,arcadian
0,M,child,0.00,arcadian
0,F,child,0.00,atlantean
0,F,civil servant,4302.98,arcadian
0,M,child,0.00,atlantean
0,M,service provider,7408.69,arcadian
0,F,fisher,1978.67,atlantean
0,M,farmer,2417.02,arcadian
0,F,child,0.00,atlantean
0,M,service provider,6540.82,arcadian
0,M,service provider,4163.27,arcadian
0,F,farmer,2855.48,hyperborean
0,F,unemployed,185.66,arcadian
0,M,fisher,1725.47,atlantean
0,M,civil servant,3526.86,atlantean
0,X,child,0.00,atlantean
0,F,child,0.00,arcadian
0,M,homemaker,274.66,arcadian
0,F,civil servant,3877.13,atlantean
0,M,homemaker,237.33,arcadian
0,M,service provider,3519.19,arcadian
0,M,child,0.00,arcadian
0,F,homemaker,197.55,atlantean
0,M,child,0.00,hyperborean
0,M,child,0.00,atlantean
